"run_label","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","run_id"
"run_id=37",30970,30970,30970,0,9732.24088370986,0,NA,NA,NA,37
"run_id=38",29923,29923,29923,0,9732.24088370986,0,NA,NA,NA,38
"run_id=39",30084,30084,30084,0,9732.24088370986,0,NA,NA,NA,39
"run_id=40",29893,29893,29893,0,9732.24088370986,0,NA,NA,NA,40
"run_id=41",31316,31316,31316,0,9732.24088370986,0,NA,NA,NA,41
"run_id=42",30708,30708,30708,0,9732.24088370986,0,NA,NA,NA,42
"run_id=43",30537,30537,30537,0,9732.24088370986,0,NA,NA,NA,43
"run_id=44",30166,30166,30166,0,9732.24088370986,0,NA,NA,NA,44
"run_id=45",30646,30646,30646,0,9732.24088370986,0,NA,NA,NA,45
"run_id=46",31507,31507,31507,0,9732.24088370986,0,NA,NA,NA,46
"run_id=47",31526,31526,31526,0,9732.24088370986,0,NA,NA,NA,47
"run_id=48",31378,31378,31378,0,9732.24088370986,0,NA,NA,NA,48
"run_id=49",30650,30650,30650,0,9732.24088370986,0,NA,NA,NA,49
"run_id=50",29942,29942,29942,0,9732.24088370986,0,NA,NA,NA,50
"run_id=51",30689,30689,30689,0,9732.24088370986,0,NA,NA,NA,51
"run_id=52",31458,31458,31458,0,9732.24088370986,0,NA,NA,NA,52
"run_id=53",32184,32184,32184,0,9732.24088370986,0,NA,NA,NA,53
"run_id=54",30405,30405,30405,0,9732.24088370986,0,NA,NA,NA,54
"run_id=55",31369,31369,31369,0,9732.24088370986,0,NA,NA,NA,55
"run_id=56",31404,31404,31404,0,9732.24088370986,0,NA,NA,NA,56
"run_id=57",29809,29809,29809,0,9732.24088370986,0,NA,NA,NA,57
"run_id=58",30279,30279,30279,0,9732.24088370986,0,NA,NA,NA,58
"run_id=59",31428,31428,31428,0,9732.24088370986,0,NA,NA,NA,59
"run_id=60",30861,30861,30861,0,9732.24088370986,0,NA,NA,NA,60
"run_id=61",31348,31348,31348,0,9732.24088370986,0,NA,NA,NA,61
"run_id=62",30674,30674,30674,0,9732.24088370986,0,NA,NA,NA,62
"run_id=63",30501,30501,30501,0,9732.24088370986,0,NA,NA,NA,63
"run_id=64",31463,31463,31463,0,9732.24088370986,0,NA,NA,NA,64
"run_id=65",30013,30013,30013,0,9732.24088370986,0,NA,NA,NA,65
"run_id=66",30563,30563,30563,0,9732.24088370986,0,NA,NA,NA,66
"run_id=67",30889,30889,30889,0,9732.24088370986,0,NA,NA,NA,67
"run_id=68",31658,31658,31658,0,9732.24088370986,0,NA,NA,NA,68
"run_id=69",30305,30305,30305,0,9732.24088370986,0,NA,NA,NA,69
"run_id=70",29940,29940,29940,0,9732.24088370986,0,NA,NA,NA,70
"run_id=71",31473,31473,31473,0,9732.24088370986,0,NA,NA,NA,71
"run_id=72",29486,29486,29486,0,9732.24088370986,0,NA,NA,NA,72
"run_id=73",31112,31112,31112,0,9732.24088370986,0,NA,NA,NA,73
"run_id=74",30404,30404,30404,0,9732.24088370986,0,NA,NA,NA,74
"run_id=75",31114,31114,31114,0,9732.24088370986,0,NA,NA,NA,75
"run_id=76",30225,30225,30225,0,9732.24088370986,0,NA,NA,NA,76
"run_id=77",30108,30108,30108,0,9732.24088370986,0,NA,NA,NA,77
"run_id=78",29892,29892,29892,0,9732.24088370986,0,NA,NA,NA,78
"run_id=79",29917,29917,29917,0,9732.24088370986,0,NA,NA,NA,79
"run_id=80",31420,31420,31420,0,9732.24088370986,0,NA,NA,NA,80
"run_id=81",30021,30021,30021,0,9732.24088370986,0,NA,NA,NA,81
"run_id=82",31591,31591,31591,0,9732.24088370986,0,NA,NA,NA,82
"run_id=83",31179,31179,31179,0,9732.24088370986,0,NA,NA,NA,83
"run_id=84",31242,31242,31242,0,9732.24088370986,0,NA,NA,NA,84
"run_id=85",30540,30540,30540,0,9732.24088370986,0,NA,NA,NA,85
"run_id=86",30262,30262,30262,0,9732.24088370986,0,NA,NA,NA,86
"run_id=87",32341,32341,32341,0,9732.24088370986,0,NA,NA,NA,87
"run_id=88",31163,31163,31163,0,9732.24088370986,0,NA,NA,NA,88
"run_id=89",31349,31349,31349,0,9732.24088370986,0,NA,NA,NA,89
"run_id=90",31538,31538,31538,0,9732.24088370986,0,NA,NA,NA,90
"run_id=91",30567,30567,30567,0,9732.24088370986,0,NA,NA,NA,91
"run_id=92",32069,32069,32069,0,9732.24088370986,0,NA,NA,NA,92
"run_id=93",30149,30149,30149,0,9732.24088370986,0,NA,NA,NA,93
"run_id=94",30386,30386,30386,0,9732.24088370986,0,NA,NA,NA,94
"run_id=95",31763,31763,31763,0,9732.24088370986,0,NA,NA,NA,95
"run_id=96",30341,30341,30341,0,9732.24088370986,0,NA,NA,NA,96
"run_id=97",30808,30808,30808,0,9732.24088370986,0,NA,NA,NA,97
"run_id=98",30802,30802,30802,0,9732.24088370986,0,NA,NA,NA,98
"run_id=99",31300,31300,31300,0,9732.24088370986,0,NA,NA,NA,99
